#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
98.37,50,10.470072
92.66,50,10.489072
93.73,50,10.508073
93.28,50,10.527754
96.38,50,10.546954
31.36,16,10.553434
61.01,32,10.565829
16.84,9,10.568852
97.16,50,10.589131
96.98,50,10.608888
97.06,50,10.627979
97.64,50,10.649915
0.74,1,10.650923
98.32,50,10.669915
99.76,50,10.688826
16.64,9,10.692826
93.1,50,10.711504
93.75,49,10.730567
88.61,46,10.748673
100.82,50,11.473007
98.68,50,11.492263
15.82,9,11.496262
67.95,37,11.51035
95.51,50,11.53035
92.69,50,11.549351
101.79,50,11.56835
97.48,50,11.58735
97.24,50,11.60735
98.68,50,11.626349
93.02,50,11.646349
101.76,50,11.665225
10.39,7,11.668249
59.61,31,11.680025
92.95,50,11.700025
18.37,9,11.703026
102.48,50,11.722889
33.19,17,11.72958
12.55,7,11.731581
92.73,50,11.75158
75.16,41,11.767581
93.65,50,11.786582
100.09,50,11.805581
29.59,16,11.811597
49.16,25,11.821581
96.4,50,11.841581
19.45,12,11.846581
97.02,50,11.86658
102.06,50,11.885581
94.04,50,11.905216
91.06,50,11.924641
100.37,50,11.944674
55.7,28,11.95564
97.29,50,11.97464
1.11,1,11.97464
96.14,50,11.994235
97.06,50,12.014237
95.73,50,12.033237
35.6,19,12.041235
96.46,47,12.059011
95.67,50,12.078899
92.83,50,12.097947
71.11,38,12.1127
99.43,50,12.1317
31.5,16,12.137699
95.29,50,12.157699
94.46,50,12.176699
71.65,36,12.190699
74.13,40,12.206699
53.74,29,12.217698
99.9,50,12.237962
74.29,39,12.251962
1.16,1,12.252964
102.19,50,12.989524
96.78,50,13.009525
106.38,50,13.029541
100.85,50,13.049542
95.2,50,13.068541
101.64,50,13.088528
100.82,50,13.108678
98.56,50,13.127677
101.85,50,13.147677
93.94,50,13.16666
92.55,48,13.185677
52.05,27,13.195677
100.81,50,13.215678
99.94,50,13.234678
83.99,42,13.25166
97.97,50,13.270679
18.15,9,13.273677
97.92,50,13.293678
95.8,50,13.31278
107.75,50,13.332726
101.31,50,13.351797
97.32,50,13.374928
100.24,50,13.394929
34.84,20,13.402197
98.05,50,13.421621
95.63,50,13.441122
98.35,50,13.461121
12.63,7,13.463142
97.18,50,13.483601
20.25,11,13.48787
102.25,50,13.50687
97.45,50,13.525869
103.49,50,13.545485
103.5,50,13.564585
36.85,18,13.571585
102.27,50,13.59017
31.88,18,13.597174
96.98,50,13.616174
69.98,37,13.630175
104.35,50,13.649996
97.92,50,13.668967
97.14,50,13.687978
96.46,50,13.707514
94.21,50,13.72651
96.59,50,13.745203
98.05,50,13.764495
98.82,50,14.481751
104.52,50,14.501106
100.12,50,14.520178
71.81,34,14.533176
74.33,38,14.547684
95.43,50,14.566358
51.6,25,14.576357
104.33,50,14.595356
101.19,50,14.614357
99.21,50,14.633356
9.1,6,14.635356
101.86,50,14.654611
99.88,50,14.673223
2.89,2,14.674223
97.26,50,14.693083
102.93,50,14.71332
97.18,50,14.733558
59.55,31,14.745558
104.91,50,14.764177
99.57,50,14.783529
99.85,50,14.802529
99.24,50,14.82164
105.23,50,14.839663
104.83,50,14.85964
35.86,19,14.866646
103.66,50,14.885641
103.47,50,14.904821
100.59,50,14.923769
97.47,50,14.943173
69.38,35,14.955776
100.42,50,14.974911
103.35,50,14.993911
102.66,50,15.013166
108.86,50,15.031023
103.81,50,15.049564
98.56,50,15.068563
99.87,50,15.086998
103.67,50,15.107068
103.2,50,15.126063
49.56,24,15.134776
12.66,6,15.137774
109.9,50,15.156406
97.96,50,15.175462
52.13,25,15.185741
104.64,50,15.204741
31.55,17,15.210742
54.6,28,15.221139
104.77,50,15.240225
99.93,50,15.978049
99.5,50,15.998101
67.36,35,16.01212
39.99,21,16.020101
102.92,50,16.038982
111.98,50,16.057982
99.18,50,16.077805
101.99,50,16.097449
101.31,50,16.115573
103.33,50,16.134701
2.74,2,16.1357
109.14,50,16.15495
