#{"t_start": 1751032085.9401686, "env_id": "None"}
r,l,t
186.28,50,134.220653
186.28,50,134.241687
186.28,50,134.260653
185.03,50,134.280811
186.28,50,134.301135
186.28,50,134.321133
186.28,50,134.340595
186.28,50,134.362196
186.28,50,134.379899
185.08,50,134.395901
186.28,50,134.418257
186.28,50,134.436257
186.28,50,134.453963
186.28,50,134.470977
186.28,50,134.487784
186.28,50,134.504258
186.28,50,134.521261
186.28,50,135.272148
186.28,50,135.293562
186.28,50,135.314561
186.28,50,135.334561
186.28,50,135.354562
186.28,50,135.37523
186.28,50,135.395694
186.28,50,135.417018
186.28,50,135.438232
183.88,50,135.458239
186.28,50,135.480238
186.28,50,135.49925
186.28,50,135.518238
186.28,50,135.538467
186.28,50,135.558469
186.28,50,135.578468
186.28,50,135.598336
186.28,50,135.617337
186.28,50,135.636415
186.28,50,135.656545
186.28,50,135.678749
186.28,50,135.698747
186.28,50,135.718747
186.28,50,135.737747
186.28,50,135.757747
186.28,50,135.777748
186.28,50,135.798188
186.28,50,135.818192
186.28,50,135.838191
186.28,50,135.859192
186.28,50,135.879485
186.28,50,135.900104
183.73,50,135.921306
186.28,50,135.941445
186.28,50,135.961449
186.28,50,135.980449
186.28,50,136.00045
185.03,50,136.020449
186.28,50,136.040087
186.28,50,136.059089
186.28,50,136.080087
186.28,50,136.957477
186.28,50,136.978489
186.28,50,136.998477
186.28,50,137.019478
186.28,50,137.040478
186.28,50,137.061479
186.28,50,137.082477
186.28,50,137.102477
186.28,50,137.122477
185.08,50,137.142723
186.28,50,137.163736
186.28,50,137.183734
186.28,50,137.204734
186.28,50,137.224738
186.28,50,137.246043
186.28,50,137.26526
186.28,50,137.283981
186.28,50,137.304882
186.28,50,137.324013
186.28,50,137.344013
186.28,50,137.363013
186.28,50,137.382858
186.28,50,137.402629
186.23,50,137.421926
186.28,50,137.443927
186.28,50,137.463574
186.28,50,137.483418
186.28,50,137.503418
186.28,50,137.522418
186.28,50,137.542454
186.28,50,137.56142
186.28,50,137.581428
186.28,50,137.600418
186.28,50,137.620418
186.28,50,137.639848
186.28,50,137.658891
186.28,50,137.680912
186.28,50,137.699912
186.28,50,137.719663
184.98,50,137.738873
186.28,50,137.758877
186.28,50,138.503991
186.23,50,138.523183
186.28,50,138.542187
186.28,50,138.561352
186.28,50,138.580928
186.28,50,138.600892
186.28,50,138.620893
186.28,50,138.640505
186.28,50,138.659508
186.28,50,138.679576
186.28,50,138.698907
186.28,50,138.718299
186.28,50,138.737418
186.28,50,138.758055
186.28,50,138.780269
186.28,50,138.79987
186.28,50,138.818868
186.28,50,138.839226
186.28,50,138.858382
186.28,50,138.878387
186.28,50,138.898386
186.28,50,138.917387
186.28,50,138.937095
186.28,50,138.960146
186.28,50,138.97914
186.28,50,138.99914
186.28,50,139.018139
186.28,50,139.038138
186.28,50,139.057117
186.28,50,139.075857
186.28,50,139.095005
186.28,50,139.115004
186.28,50,139.134004
186.28,50,139.153005
186.28,50,139.173231
186.28,50,139.192479
186.28,50,139.211798
186.28,50,139.230798
186.28,50,139.251222
186.28,50,139.270407
186.28,50,139.290407
185.03,50,140.050394
186.28,50,140.070402
186.28,50,140.091727
186.28,50,140.111216
186.28,50,140.131577
186.28,50,140.150802
186.28,50,140.170803
186.28,50,140.189802
186.28,50,140.210803
186.28,50,140.229801
186.28,50,140.249807
186.28,50,140.269781
186.28,50,140.290215
186.28,50,140.310214
186.28,50,140.329215
186.28,50,140.349214
186.28,50,140.368245
186.28,50,140.388231
186.28,50,140.408108
186.28,50,140.427471
186.28,50,140.447471
186.28,50,140.468472
186.28,50,140.488472
186.28,50,140.507472
186.28,50,140.526473
186.28,50,140.546003
186.28,50,140.566007
186.28,50,140.585007
186.28,50,140.605028
185.13,50,140.624008
186.28,50,140.643007
186.28,50,140.663007
186.28,50,140.682007
186.28,50,140.702096
186.23,50,140.721877
186.28,50,140.742972
186.28,50,140.762972
186.28,50,140.785064
186.28,50,140.805047
186.28,50,140.824114
186.28,50,140.844252
186.28,50,141.616956
186.28,50,141.636952
186.28,50,141.657709
186.28,50,141.678121
186.28,50,141.698122
186.28,50,141.719122
186.28,50,141.739179
186.28,50,141.75918
186.28,50,141.780251
186.28,50,141.800291
186.28,50,141.821293
186.28,50,141.841292
186.28,50,141.862291
186.28,50,141.882291
185.13,50,141.90229
186.28,50,141.922309
186.28,50,141.942291
186.28,50,141.963691
186.28,50,141.984467
186.28,50,142.00577
186.28,50,142.025993
186.28,50,142.045992
186.28,50,142.065992
186.28,50,142.088021
186.28,50,142.108147
186.28,50,142.129148
186.28,50,142.148147
186.28,50,142.168148
186.28,50,142.189148
186.28,50,142.208147
186.28,50,142.228147
186.28,50,142.24915
186.28,50,142.269165
185.03,50,142.289173
186.28,50,142.31028
186.28,50,142.330279
186.28,50,142.352013
186.28,50,142.371016
185.13,50,142.390966
186.28,50,142.411066
186.28,50,143.177899
186.28,50,143.198894
186.28,50,143.218894
186.28,50,143.238894
186.28,50,143.259894
186.28,50,143.2796
186.28,50,143.299602
186.28,50,143.319601
186.28,50,143.339601
186.28,50,143.360601
186.28,50,143.380601
186.28,50,143.400293
185.08,50,143.42433
186.28,50,143.446415
186.28,50,143.463642
186.28,50,143.484643
186.28,50,143.50087
186.28,50,143.519243
185.08,50,143.536056
186.28,50,143.554407
186.28,50,143.570328
186.28,50,143.589286
186.28,50,143.605285
186.28,50,143.623701
186.28,50,143.640859
186.28,50,143.656908
186.28,50,143.678427
186.28,50,143.698995
186.28,50,143.717995
186.28,50,143.738728
186.28,50,143.758729
186.28,50,143.779408
186.28,50,143.799365
186.28,50,143.818365
186.28,50,143.840365
186.28,50,143.860661
186.28,50,143.879964
186.28,50,143.900739
186.23,50,143.920428
185.13,50,143.939429
186.28,50,143.959428
186.28,50,144.694878
186.28,50,144.714003
186.28,50,144.734004
186.28,50,144.755004
186.28,50,144.776005
186.28,50,144.797004
186.28,50,144.816517
186.28,50,144.835517
186.28,50,144.855685
186.28,50,144.877685
186.28,50,144.898685
185.08,50,144.919685
186.28,50,144.939689
186.28,50,144.960686
186.28,50,144.980689
186.28,50,145.002686
186.28,50,145.023914
186.28,50,145.043906
186.28,50,145.063906
186.28,50,145.083906
186.28,50,145.103785
186.28,50,145.124041
186.28,50,145.145041
186.28,50,145.16504
186.28,50,145.186041
186.28,50,145.206041
186.28,50,145.227427
186.28,50,145.247789
186.28,50,145.268789
186.28,50,145.288847
186.28,50,145.308973
186.28,50,145.328974
186.28,50,145.348973
186.28,50,145.368974
186.23,50,145.388973
186.28,50,145.408974
186.19,50,145.430421
186.28,50,145.452689
186.28,50,145.472793
186.28,50,145.492793
186.28,50,145.513794
186.28,50,146.250937
186.23,50,146.271936
186.28,50,146.292937
184.88,50,146.312078
186.28,50,146.333152
186.28,50,146.354154
186.28,50,146.375154
186.28,50,146.39554
186.28,50,146.417541
186.28,50,146.436938
186.28,50,146.454371
186.28,50,146.472371
186.28,50,146.49117
185.03,50,146.512374
185.03,50,146.530382
186.28,50,146.54879
186.28,50,146.566854
186.28,50,146.58578
186.28,50,146.60378
186.28,50,146.622326
185.13,50,146.639737
185.13,50,146.662462
186.28,50,146.685009
186.28,50,146.703309
186.28,50,146.721281
186.28,50,146.738674
186.28,50,146.756844
186.28,50,146.774641
186.28,50,146.791698
186.28,50,146.810471
186.28,50,146.827424
186.28,50,146.845642
186.28,50,146.865641
186.28,50,146.888783
186.28,50,146.908424
186.28,50,146.929425
186.28,50,146.949741
186.28,50,146.969769
186.28,50,146.991742
186.28,50,147.012154
186.28,50,147.034075
186.28,50,147.821269
186.28,50,147.843251
186.28,50,147.864251
184.98,50,147.886252
186.28,50,147.908252
186.28,50,147.928537
186.28,50,147.949568
186.28,50,147.971567
186.28,50,147.992567
186.28,50,148.012567
186.28,50,148.036566
186.28,50,148.057566
186.28,50,148.078581
186.28,50,148.098963
186.28,50,148.119962
186.28,50,148.141499
186.28,50,148.16212
186.28,50,148.182962
186.28,50,148.203892
186.28,50,148.225899
186.28,50,148.245896
186.28,50,148.267931
186.28,50,148.28893
186.28,50,148.309956
186.28,50,148.335789
186.28,50,148.356789
186.28,50,148.377793
186.28,50,148.39801
186.28,50,148.417883
186.28,50,148.436913
185.08,50,148.456916
186.28,50,148.476585
186.28,50,148.495702
186.28,50,148.516416
186.28,50,148.53576
186.28,50,148.555307
186.28,50,148.574291
186.28,50,148.594404
186.28,50,148.61429
186.28,50,148.63329
186.28,50,148.654279
186.28,50,149.420058
186.28,50,149.440969
186.23,50,149.461129
186.28,50,149.480637
186.28,50,149.500804
186.28,50,149.521143
186.28,50,149.544938
186.28,50,149.566938
186.28,50,149.586939
186.28,50,149.606406
186.28,50,149.626406
186.28,50,149.646186
186.28,50,149.666185
186.28,50,149.686394
186.28,50,149.706394
186.28,50,149.726443
186.28,50,149.746443
184.88,50,149.766442
186.28,50,149.785442
186.28,50,149.807442
186.28,50,149.827446
186.28,50,149.847354
186.28,50,149.867354
186.28,50,149.887341
186.28,50,149.906342
186.28,50,149.926339
186.28,50,149.94634
186.28,50,149.966339
186.28,50,149.985343
186.28,50,150.005339
186.28,50,150.025611
186.23,50,150.044813
186.28,50,150.065133
186.28,50,150.085133
186.28,50,150.105134
186.28,50,150.125134
186.28,50,150.145134
186.28,50,150.164133
186.28,50,150.184134
186.28,50,150.204527
186.28,50,150.223674
186.28,50,150.983101
186.28,50,151.003101
186.28,50,151.022101
186.23,50,151.043744
186.28,50,151.063782
186.28,50,151.084079
186.28,50,151.10308
186.28,50,151.122409
185.08,50,151.14241
186.28,50,151.162735
186.28,50,151.181735
186.28,50,151.201764
186.28,50,151.221277
186.28,50,151.241533
186.28,50,151.260641
186.28,50,151.281645
186.28,50,151.301243
186.28,50,151.320518
186.28,50,151.340518
186.28,50,151.360517
186.28,50,151.380543
186.28,50,151.400517
186.28,50,151.419517
186.28,50,151.440345
186.28,50,151.460065
186.28,50,151.480065
186.28,50,151.499979
186.28,50,151.519215
186.28,50,151.539214
186.28,50,151.55845
186.28,50,151.581094
186.28,50,151.602117
186.28,50,151.622092
186.28,50,151.642092
186.28,50,151.6615
186.28,50,151.681762
186.28,50,151.701761
186.28,50,151.720761
185.03,50,151.741488
186.28,50,151.760488
186.28,50,151.780489
186.28,50,152.553416
186.28,50,152.577416
186.28,50,152.597415
186.28,50,152.618416
186.28,50,152.638414
186.28,50,152.660561
186.28,50,152.682108
186.28,50,152.703965
186.28,50,152.723963
186.28,50,152.74496
186.28,50,152.765966
186.28,50,152.787961
186.28,50,152.808202
186.28,50,152.829947
186.28,50,152.851093
186.28,50,152.87295
186.28,50,152.893406
186.28,50,152.913407
186.28,50,152.935719
186.28,50,152.956719
186.28,50,152.977719
186.23,50,152.997718
186.28,50,153.018718
186.28,50,153.03897
186.28,50,153.060364
185.08,50,153.080362
186.28,50,153.101362
186.28,50,153.122364
186.28,50,153.143844
186.28,50,153.164844
186.28,50,153.186828
186.28,50,153.207564
186.28,50,153.227846
186.28,50,153.247847
186.28,50,153.268846
186.28,50,153.289845
186.28,50,153.309846
186.28,50,153.331846
186.28,50,153.352846
186.28,50,153.374846
186.28,50,153.394845
186.28,50,154.182625
186.28,50,154.203624
186.28,50,154.224625
185.08,50,154.246111
186.28,50,154.267111
186.28,50,154.286654
186.28,50,154.30766
186.28,50,154.329659
186.28,50,154.350843
186.28,50,154.371843
186.28,50,154.392844
186.28,50,154.413843
186.28,50,154.433843
186.28,50,154.454347
186.28,50,154.474837
186.28,50,154.49586
186.28,50,154.516837
186.28,50,154.537838
186.28,50,154.558836
186.28,50,154.57935
186.28,50,154.599939
186.28,50,154.622128
186.28,50,154.642183
186.28,50,154.664183
186.28,50,154.684182
186.23,50,154.705693
186.28,50,154.726694
186.28,50,154.746696
186.28,50,154.768038
186.28,50,154.788036
186.28,50,154.810037
186.28,50,154.831038
186.28,50,154.852054
186.28,50,154.871701
186.28,50,154.892749
186.28,50,154.91391
186.28,50,154.934904
186.28,50,154.954905
184.98,50,154.976907
186.28,50,154.998127
186.28,50,155.018375
186.28,50,155.802285
186.28,50,155.82329
186.28,50,155.844286
186.28,50,155.864285
186.28,50,155.887285
186.28,50,155.90865
186.28,50,155.92965
186.28,50,155.948651
186.28,50,155.97065
186.28,50,155.991651
186.28,50,156.012417
186.28,50,156.034417
186.28,50,156.055417
186.28,50,156.075417
186.28,50,156.096417
186.28,50,156.116417
186.28,50,156.135817
185.03,50,156.155817
186.28,50,156.174824
186.28,50,156.193831
186.28,50,156.213816
186.28,50,156.233817
186.28,50,156.253164
186.28,50,156.273254
186.28,50,156.293252
186.28,50,156.312055
186.28,50,156.332055
186.28,50,156.351402
186.28,50,156.371423
186.28,50,156.39139
186.28,50,156.410849
186.28,50,156.431849
186.28,50,156.451421
186.28,50,156.471542
186.28,50,156.491367
186.28,50,156.512365
186.28,50,156.531367
186.23,50,156.551367
186.28,50,156.571367
186.28,50,156.591366
186.28,50,156.611366
